Age	Both Sexes	Male	Female
ALL	2391399	1175460	1215939
0	27937	15646	12291
1	1989	1103	886
2	1376	797	579
3	1046	601	445
4	838	474	364
5	763	446	317
6	696	384	312
7	683	386	297
8	692	389	303
9	640	359	281
10	687	394	293
11	711	415	296
12	717	414	303
13	847	551	296
14	1159	754	405
15	1509	997	512
16	2354	1570	784
17	2904	2012	892
18	3404	2500	904
19	3607	2701	906
20	3501	2616	885
21	3538	2678	860
22	3373	2541	832
23	3288	2461	827
24	3178	2338	840
25	3137	2253	884
26	3277	2368	909
27	3549	2512	1037
28	3762	2642	1120
29	3978	2767	1211
30	4005	2710	1295
31	4184	2828	1356
32	4599	3113	1486
33	4965	3331	1634
34	5610	3752	1858
35	6275	4165	2110
36	6667	4288	2379
37	7306	4714	2592
38	8041	5113	2928
39	8515	5401	3114
40	9036	5780	3256
41	9807	6270	3537
42	10473	6646	3827
43	11212	7183	4029
44	11924	7558	4366
45	12407	7839	4568
46	13106	8392	4714
47	13550	8645	4905
48	14039	8930	5109
49	15018	9497	5521
50	15633	9775	5858
51	16870	10470	6400
52	18686	11509	7177
53	16198	9885	6313
54	17467	10717	6750
55	19151	11728	7423
56	21335	12919	8416
57	20641	12509	8132
58	21328	12865	8463
59	22429	13420	9009
60	23520	14016	9504
61	25087	14881	10206
62	26240	15506	10734
63	28216	16626	11590
64	31032	18254	12778
65	31942	18538	13404
66	34234	19743	14491
67	36624	21115	15509
68	40061	23073	16988
69	43834	25060	18774
70	45803	25849	19954
71	49997	28204	21793
72	53562	29893	23669
73	56456	31073	25383
74	60087	32372	27715
75	62824	33584	29240
76	64443	33944	30499
77	68654	35701	32953
78	70776	36020	34756
79	71652	35604	36048
80	70344	33930	36414
81	72038	34429	37609
82	72361	33404	38957
83	72459	32623	39836
84	73039	31731	41308
85	72299	30524	41775
86	70110	27775	42335
87	66398	25418	40980
88	63168	22655	40513
89	58928	20159	38769
90	53410	17257	36153
91	49652	15012	34640
92	43121	12385	30736
93	36454	9988	26466
94	31354	7869	23485
95	25851	6219	19632
96	20738	4639	16099
97	15821	3281	12540
98	12093	2270	9823
99	8831	1702	7129
100	6025	1031	4994
101	4278	688	3590
102	2831	430	2401
103	1808	301	1507
104	1209	154	1055
105	750	90	660
106	431	58	373
107	263	31	232
108	136	23	113
109	84	14	70
110	40	9	31
111	21	1	20
112	12	2	10
113	9	2	7
114	6		6
115	3		3
116			
117	3	2	1
118	1		1
119	2		2
120	1		1
121			
122			
123			
124			
